Dive Site ID,Lat,Lng,Temp(F),Wind Speed(mph),Record #
23268,17.932192,-66.260378,75.99,8.99,11014
22975,18.329722,-64.946667,81.37,5.99,11049
24082,18.351342000000002,-64.853611,81.43,15.01,11054
18549,17.945089000000003,-66.627319,83.61,7.0,11762
18549,17.973667000000003,-66.61694200000001,83.59,7.0,11767
18549,17.966914000000003,-66.616289,83.59,7.0,11768
23268,17.931778,-66.259333,75.99,8.99,11819
23774,18.472306,-66.13905600000001,77.88,5.82,907
22975,18.333011,-64.952922,81.37,5.99,1266
22975,18.327011,-64.950194,81.37,5.99,1297
22975,18.326847,-64.950272,81.37,5.99,1298
24392,17.748306,-64.702917,83.55,16.11,790
22155,18.345231,-64.669022,82.13,11.41,791
22628,18.354675,-64.75958100000001,81.68,15.01,792
22628,18.361342,-64.77319200000001,81.41,15.01,794
22628,18.364675,-64.749581,81.68,15.01,795
23386,17.757194000000002,-64.604861,83.57,16.11,6835
23774,18.4715,-66.130611,77.9,5.82,7052
22975,18.335744000000002,-64.935653,81.37,5.99,14041
22975,18.335082999999997,-64.924625,81.39,4.0,14042
18501,18.459114000000003,-66.09272800000001,77.94,5.82,13780
18501,18.450525,-66.10175600000001,77.95,5.82,13784
23774,18.481217,-66.132017,77.88,5.82,13785
23774,18.484647,-66.125219,77.88,5.82,13786
23852,17.712142,-64.890128,83.61,16.11,12196
23773,18.223028,-65.61627800000001,79.07,9.17,10079
23773,18.221444,-65.600806,79.05,9.17,10082
22975,18.330839,-64.933231,81.39,5.01,9770
22975,18.330803,-64.93314699999999,81.39,5.01,9771
22975,18.330617,-64.932936,81.39,5.01,9772
22975,18.329711,-64.934667,81.39,5.01,9773
22975,18.331017000000003,-64.932119,81.39,5.01,9774
22975,18.330619,-64.934256,81.39,5.01,9775
22975,18.333578,-64.932836,81.39,5.01,9777
22975,18.331192,-64.933839,81.39,5.01,9778
22975,18.335075,-64.939711,81.37,5.99,9781
22975,18.335283,-64.93975,81.37,5.99,9782
22975,18.335694,-64.940039,81.37,5.99,9784
22975,18.325164,-64.928556,81.39,5.01,9785
22975,18.317947,-64.969697,81.37,5.99,9789
22975,18.326007999999998,-64.950053,81.37,5.99,9790
24080,18.303072,-64.973256,81.39,5.99,9791
22975,18.314283,-64.962839,81.39,5.99,9794
22975,18.322528,-64.953778,81.39,5.99,9798
22975,18.327128,-64.958325,81.37,5.99,9802
22975,18.335125,-64.967031,81.37,5.99,9803
22975,18.324069,-64.957003,81.39,5.99,9805
24080,18.326194,-64.99355,81.37,5.99,9806
24080,18.313347,-65.041389,81.37,5.99,9807
22975,18.32805,-64.960114,81.37,5.99,9808
23774,18.472306,-66.156417,77.83,5.82,2734
23774,18.472972,-66.132914,77.9,5.82,2741
23774,18.46925,-66.132861,77.9,5.82,2742
23774,18.471611,-66.132942,77.9,5.82,2743
23774,18.478583,-66.231083,79.79,5.82,2751
23774,18.468417000000002,-66.132389,77.9,5.82,2779
24402,17.783583,-64.751253,83.5,16.11,2538
24129,18.063019,-65.492936,80.19,9.17,2539
18851,18.441333,-65.759606,76.87,9.17,2540
18501,18.442999999999998,-66.11335799999999,77.9,5.82,2542
18501,18.464667000000002,-65.98294399999999,77.36,6.93,2892
18501,18.442933,-66.11205600000001,77.9,5.82,2910
18501,18.428447,-66.110694,77.86,5.82,2911
18501,18.452610999999997,-66.10325,77.95,5.82,2912
18501,18.452556,-66.103444,77.95,5.82,2913
18501,18.452722,-66.10333100000001,77.95,5.82,2914
18501,18.447528,-66.108583,77.94,5.82,2915
23774,18.681325,-66.166278,79.36,5.82,7783
18851,18.5,-65.8,76.84,6.93,15081
23635,18.303085999999997,-64.919133,81.43,15.99,8536
22975,18.311281,-64.91578299999999,81.43,15.99,8537
22975,18.312044,-64.915575,81.43,15.99,8538
22975,18.327797,-64.9478,81.37,5.99,8555
22975,18.336130999999998,-64.93858900000001,81.37,5.99,8557
22975,18.335058,-64.938592,81.37,5.99,8559
22975,18.321883,-64.95514200000001,81.39,5.99,8560
22975,18.323056,-64.95222199999999,81.39,5.99,8567
22975,18.312439,-64.916947,81.43,15.99,8539
22975,18.3116,-64.91885,81.43,15.99,8540
22975,18.323364,-64.923397,81.43,15.99,8543
22975,18.311511,-64.936375,81.41,15.99,8544
22975,18.328875,-64.93135600000001,81.39,5.01,8549
22975,18.332667,-64.934572,81.39,5.01,8551
24080,18.2701,-65.0178,81.39,5.99,15190
24080,18.2553,-65.0126,81.39,5.99,15191
24080,18.253222,-64.97783299999999,81.41,15.99,15192
23635,18.261360999999997,-64.94125,81.43,15.99,15193
23635,18.249556,-64.938806,81.43,15.99,15194
24390,17.749694,-64.697864,83.55,16.11,4428
24390,17.749972,-64.698475,83.55,16.11,4429
24390,17.751832999999998,-64.695419,83.55,16.11,4432
24390,17.752417,-64.695697,83.55,16.11,4433
24392,17.754417,-64.702919,83.55,16.11,4434
21051,17.673030999999998,-64.82292199999999,83.66,16.11,4469
21050,17.689864,-64.80314399999999,83.68,16.11,4471
23852,17.712067,-64.89,83.61,16.11,4472
22975,18.330714,-64.955333,81.37,5.99,4514
22645,25.261389,-76.953889,77.0,3.36,3663
23834,18.225192,-65.187431,81.14,13.87,14733
23635,18.252917,-64.926639,81.43,15.99,15195
22975,18.32975,-64.954639,81.37,5.99,14820
18851,18.45,-65.75,76.87,9.17,15082
22454,37.000861,-75.370806,52.0,5.99,15065
24380,37.084222,-75.919472,52.45,25.28,14822
22453,36.598528,-75.698139,52.0,18.99,14881
24380,36.899271999999996,-75.71628100000001,52.36,25.28,14217
16843,37.918731,-75.058447,47.25,23.04,14225
23455,38.8651,-75.134439,44.85,13.0,8880
23455,38.993019,-75.19470600000001,45.34,10.0,11939
23455,39.002586,-75.20517199999999,45.34,10.0,11941
23455,38.993839,-75.196211,45.34,10.0,11942
23455,39.023808,-75.134089,44.55,11.41,11945
23455,39.003147,-75.125711,44.55,11.41,11946
23455,39.005472,-75.12850300000001,44.55,11.41,11947
23455,39.042231,-75.110014,44.55,11.41,11952
23455,39.010861,-75.127944,44.55,11.41,11953
23455,38.987064000000004,-75.112475,44.55,11.41,11955
23557,38.602047,-74.67975,44.67,10.0,10652
16526,38.524133,-74.791103,44.33,10.0,10657
16526,38.587408,-74.827558,44.33,10.0,10681
22959,38.632119,-74.845889,45.0,10.0,10684
23455,38.889978,-75.092686,44.62,17.0,11074
24380,36.827216,-75.868392,52.0,18.99,11430
24380,36.904846,-75.71343900000001,52.5,25.28,11436
24380,36.857956,-75.59496899999999,52.5,25.28,11448
23455,38.996517,-75.119747,44.55,11.41,10736
22454,36.863486,-75.5063,52.48,25.28,11449
24380,36.981221999999995,-75.993806,52.39,25.28,10794
24380,36.897434000000004,-75.780953,52.48,25.28,803
24380,36.900147,-75.966317,51.87,7.0,804
24380,36.903890000000004,-75.891293,52.3,25.28,808
24380,36.915842,-75.848208,52.48,25.28,815
22454,36.916817,-74.999611,51.08,37.69,816
23491,38.747875,-74.59853100000001,44.53,11.41,1132
23455,38.752658000000004,-74.906675,45.0,10.0,1133
23491,38.761010999999996,-74.5234,44.53,11.41,1134
23491,38.776081,-74.560436,44.53,11.41,1138
24380,36.945147,-75.916314,52.45,25.28,831
23455,38.804086,-75.067489,45.0,13.0,1145
23455,38.812611,-75.072956,45.0,13.0,1148
23455,38.812531,-75.073667,45.0,13.0,1149
23455,38.812981,-75.067808,45.0,13.0,1150
23455,38.826608,-75.042869,45.0,13.0,1158
24380,36.935092,-75.954989,52.34,25.28,833
24380,36.950144,-76.059653,51.48,5.99,838
24380,36.959725,-76.021361,52.14,25.28,848
23455,38.866778000000004,-75.131292,44.85,13.0,1170
24380,36.959311,-75.955483,52.43,25.28,850
24380,36.960561,-76.010642,52.36,25.28,857
23455,38.941778,-74.97184200000001,44.56,11.41,1210
23455,38.949478000000006,-75.175875,45.34,13.0,1211
22454,36.976039,-75.412741,52.0,5.99,880
24380,36.983478000000005,-76.066319,51.91,12.75,886
23455,39.002586,-75.20517199999999,45.34,10.0,1237
22454,37.000147,-74.99961400000001,50.85,37.85,899
22454,37.001574,-75.407492,52.0,5.99,903
24380,37.000981,-75.574636,52.48,25.28,906
24380,37.038333,-76.03366700000001,51.71,5.99,921
24380,37.040144,-75.936317,52.43,25.28,922
24296,37.05015,-73.832892,55.58,42.66,924
24380,37.050978,-75.76464200000001,52.48,25.28,925
24380,37.055144,-75.851033,52.47,25.28,926
24380,37.055144,-75.854644,52.47,25.28,927
16843,37.991789000000004,-75.17463199999999,47.28,23.04,1232
23476,37.881792,-74.776364,46.4,19.46,318
23543,35.150175,-75.531261,53.29,14.99,652
24380,37.056978,-75.899314,52.45,25.28,933
24380,37.056978,-75.899314,52.45,25.28,934
22454,37.067541999999996,-75.057147,50.58,37.69,936
22454,37.076756,-75.081761,50.52,37.63,939
24380,37.083475,-75.942983,52.45,25.28,942
24296,37.166814,-73.966233,54.7,42.03,953
16442,35.254622,-75.338753,53.28,14.99,668
17053,35.319539,-75.469461,53.19,14.99,671
16442,35.365375,-75.0727,53.19,14.99,672
16442,35.379075,-75.33331700000001,53.19,14.99,673
16442,35.391289,-75.336811,53.19,14.99,674
22454,37.238433,-75.564942,49.68,14.0,958
22454,37.255697,-75.510747,47.86,25.28,959
22454,37.255808,-75.620972,49.68,14.0,960
16442,35.398236,-75.11513599999999,53.19,14.99,675
16442,35.441846999999996,-75.187919,53.19,14.99,678
16442,35.444835999999995,-75.19955,53.19,14.99,679
17053,35.468511,-75.477375,53.19,14.99,680
16442,35.483514,-75.249589,53.19,14.99,682
21171,35.500178000000005,-75.4996,53.19,14.99,685
21171,35.542671999999996,-75.23786700000001,53.01,14.0,687
21171,35.666844,-75.416267,52.41,14.0,693
21171,35.698789,-75.422658,52.39,14.0,694
21171,35.700178,-75.424603,52.39,14.0,695
16843,37.5268,-75.229911,47.34,25.28,984
16843,37.5368,-75.41130799999999,47.82,25.28,987
16843,37.695961,-75.428811,47.35,23.04,991
16843,37.816792,-75.36630799999999,47.28,23.04,994
16889,37.833458,-74.916286,47.1,23.04,995
16843,37.836791999999996,-75.339917,47.66,23.04,996
16843,37.850903,-75.265886,47.7,23.04,997
23461,37.852369,-74.279619,51.06,40.69,998
21171,35.7189,-75.48905,52.38,14.0,697
22235,35.819897,-74.899861,52.43,14.0,698
21170,35.845675,-75.555444,51.94,12.75,699
23406,35.886842,-75.282933,52.34,14.0,700
22736,36.000156,-75.999639,51.48,12.75,708
22736,36.016836,-75.499611,51.51,10.29,709
22736,36.0385,-75.666286,51.96,12.75,711
23406,36.066839,-75.227936,51.35,10.29,713
22235,36.083503,-74.716247,55.81,35.95,714
22235,36.093519,-74.926639,51.55,10.29,715
16821,37.916794,-73.999575,52.29,40.13,1000
16889,37.921683,-74.92129399999999,46.96,19.46,1002
16889,37.929025,-74.935144,47.01,19.46,1003
16889,37.935864,-74.932456,46.96,19.46,1004
16889,37.948910999999995,-74.987533,47.1,19.46,1005
16843,37.953069,-75.104469,47.25,23.04,1006
16843,37.970341999999995,-75.146464,47.26,23.04,1008
16843,37.971339,-75.146244,47.26,23.04,1009
16843,37.975633,-75.16507800000001,47.28,23.04,1010
23476,37.991356,-74.820656,45.52,19.46,1011
16843,38.004672,-75.172931,46.4,23.04,1014
16821,38.050125,-74.185694,51.03,40.31,1017
23406,36.149058000000004,-75.24377199999999,51.62,10.29,717
23406,36.192947,-75.002372,51.53,10.29,719
22453,36.383492,-75.81630600000001,51.94,17.22,730
22453,36.401014,-75.53015,52.0,14.0,732
23910,38.368444000000004,-75.051292,44.85,19.46,735
16554,36.540486,-75.865336,51.94,12.75,739
16554,36.561792,-75.867811,51.94,12.75,740
16821,38.066792,-74.099581,51.4,40.11,1019
23480,38.079739000000004,-74.592833,45.55,19.46,1020
23476,38.090675,-74.81016899999999,45.19,19.46,1023
23480,38.090692,-74.63090799999999,45.19,19.46,1024
23480,38.101786,-74.616272,45.19,19.46,1026
16693,38.148808,-74.947222,44.65,19.46,1027
24247,38.169839,-75.037125,44.71,19.46,1028
24247,38.189017,-75.006289,44.73,19.46,1029
23464,38.222278,-74.7606,44.65,19.46,1030
23464,38.223172,-74.75572199999999,44.65,19.46,1031
23464,38.223172,-74.761278,44.65,19.46,1032
23464,38.224072,-74.755619,44.65,19.46,1033
23464,38.241783,-74.74794399999999,44.65,19.46,1034
23910,38.265392,-75.034347,44.87,19.46,1035
24249,38.26905,-74.8784,44.67,19.46,1036
23910,38.277408,-75.018725,44.83,19.46,1037
23910,38.282892,-75.034625,44.85,19.46,1038
23910,38.283161,-75.033586,44.85,19.46,1039
16821,38.283456,-74.132917,50.77,39.73,1040
23910,38.283446999999995,-75.02879200000001,44.85,19.46,1042
16843,37.711794,-75.11963100000001,47.35,23.04,61
24274,37.911789,-75.024625,47.19,23.04,62
23910,38.292614,-74.999622,44.8,19.46,1043
23910,38.294281,-75.00636899999999,44.82,19.46,1044
16821,38.300121999999995,-73.999575,50.94,39.48,1046
24249,38.324192,-74.96673100000001,44.74,19.46,1047
23474,38.350114000000005,-74.666275,44.74,19.46,1048
23845,38.350861,-74.895894,44.76,19.46,1049
23845,38.352892,-74.880172,44.76,19.46,1050
23845,38.356219,-74.895792,44.76,19.46,1051
23474,38.365772,-74.771181,44.73,19.46,1052
23471,38.378444,-74.97962199999999,44.8,19.46,1053
23471,38.384208,-74.97994200000001,44.8,19.46,1054
16821,38.404278000000005,-73.746378,50.83,42.17,1055
23474,38.409633,-74.701278,44.74,19.46,1056
23459,38.412114,-74.836783,44.74,19.46,1057
23462,38.416781,-74.699608,44.74,19.46,1058
23471,38.416778,-74.999622,44.74,19.46,1059
23450,38.429922,-74.389014,45.09,19.46,1060
23463,38.430614,-74.76794699999999,44.74,19.46,1061
23471,38.431367,-74.95662800000001,44.74,19.46,1062
23463,38.431917,-74.76728299999999,44.74,19.46,1063
23463,38.432003,-74.768225,44.74,19.46,1064
23450,38.435117,-74.394594,45.05,19.46,1065
23463,38.441778,-74.774611,44.74,19.46,1066
23471,38.441778,-74.98795600000001,44.73,19.46,1067
23471,38.450111,-75.049625,44.69,19.46,1068
23471,38.456222,-74.939619,44.73,19.46,1069
23471,38.456778,-74.935175,44.73,19.46,1070
23463,38.457114000000004,-74.78528100000001,44.74,19.46,1071
23471,38.457333,-74.934064,44.73,19.46,1072
23458,38.461767,-74.649958,44.74,19.46,1073
23471,38.462183,-74.92519399999999,44.73,19.46,1074
23459,38.462272,-74.820031,44.74,19.46,1075
23471,38.4665,-74.98017800000001,44.71,19.46,1076
23471,38.467519,-74.979444,44.71,19.46,1077
23470,38.480669,-74.5296,44.82,19.46,1078
23482,38.484281,-74.544044,44.76,19.46,1079
23482,38.485775,-74.544439,45.43,19.46,1080
23462,38.495425,-74.669208,44.74,19.46,1081
23462,38.509231,-74.68123100000001,44.8,19.46,1083
23459,38.508831,-74.842308,44.8,19.46,1084
23462,38.511936,-74.718114,44.33,8.01,1085
23482,38.514835999999995,-74.52126700000001,44.65,19.46,1086
23482,38.516346999999996,-74.5223,45.41,19.46,1087
23482,38.530603,-74.564764,44.8,19.46,1088
23482,38.533446999999995,-74.559878,44.8,19.46,1089
23451,38.558456,-73.83456899999999,50.13,40.8,1090
23451,38.561594,-73.82575600000001,50.13,40.8,1091
23557,38.577614000000004,-74.69802800000001,44.33,8.01,1093
16526,38.582758,-74.745767,44.33,8.01,1094
23557,38.59825,-74.658167,44.67,8.01,1095
23557,38.599278000000005,-74.658528,44.67,8.01,1096
23431,38.608444,-74.924617,44.35,8.01,1098
22959,38.612611,-74.91628299999999,44.35,8.01,1099
23431,38.61505,-74.94851700000001,44.37,8.01,1100
23431,38.616642,-74.930369,44.35,8.01,1101
23431,38.624666999999995,-75.020344,44.38,8.01,1102
22959,38.625994,-74.86309399999999,45.34,8.01,1103
23454,38.639883000000005,-74.399142,44.51,11.41,1106
23491,38.641728,-74.547472,44.65,24.0,1107
24380,36.862092,-75.766864,52.48,25.28,788
23454,38.643619,-74.409122,44.51,11.41,1108
23491,38.660114,-74.44292800000001,44.51,11.41,1110
23452,38.666783,-74.132914,49.32,38.01,1112
23454,38.667056,-74.35515799999999,44.49,11.41,1113
23452,38.672431,-74.136883,49.32,37.92,1114
23491,38.673994,-74.48764200000001,44.53,11.41,1116
23491,38.675947,-74.45209399999999,44.51,11.41,1117
23491,38.675953,-74.454397,44.51,11.41,1118
23491,38.676675,-74.452286,44.51,11.41,1119
23491,38.678908,-74.494606,44.53,11.41,1120
23452,38.688733,-74.136147,49.23,37.85,1121
23431,38.694,-75.012953,45.01,8.01,1122
23431,38.700111,-75.066289,45.0,10.0,1123
23491,38.706542,-74.61658100000001,44.53,11.41,1124
23455,38.710111,-74.996286,45.23,8.01,1125
23491,38.743717,-74.610814,44.53,11.41,1128
24380,37.133475,-75.862981,50.99,14.0,6829
24380,37.170142,-75.819644,50.99,8.01,6830
23431,38.561221999999994,-75.215742,44.71,9.17,7196
23431,38.589,-75.204353,44.87,9.17,7197
23431,38.632333,-75.09768100000001,44.87,8.01,7198
23431,38.687889,-75.099625,45.16,8.01,7199
22439,39.816417,-75.380689,44.53,20.8,1440
22439,39.821917,-75.342772,44.67,20.8,1442
22439,39.826389,-75.35435600000001,44.78,20.8,1443
22439,39.827861,-75.34796700000001,44.78,20.8,1444
22439,39.830681,-75.342828,44.64,20.8,1446
22439,39.833444,-75.3663,44.74,20.8,1450
16843,37.867783,-75.05721700000001,47.26,23.04,2423
16843,37.763163,-75.197096,47.32,23.04,2424
16843,37.800125,-75.246303,47.71,23.04,2432
16843,37.833458,-75.182967,47.73,23.04,2433
16843,37.899539000000004,-75.328806,47.61,23.04,2434
17089,35.460733000000005,-75.56626899999999,53.19,14.99,2436
21171,35.585178000000006,-75.45626700000001,52.74,14.0,2437
21171,35.590178,-75.45876700000001,52.74,14.0,2438
21170,35.845175,-75.55994399999999,51.94,12.75,2439
22736,36.200164,-75.649625,52.0,14.0,2440
22453,36.249328000000006,-75.77963299999999,52.0,15.99,2441
23910,38.314753,-75.08498900000001,45.36,19.46,2476
16843,37.815125,-75.06129399999999,47.3,23.04,2420
22453,36.360492,-75.819969,51.94,17.22,2442
22453,36.258497,-75.466286,52.0,11.99,2443
21171,35.566844,-75.460711,52.72,14.0,2444
22736,35.847342,-75.561611,51.94,12.75,2445
24380,36.863481,-75.783475,52.38,25.28,1608
22439,39.656703,-75.564544,45.86,13.87,1400
22439,39.663171999999996,-75.526117,45.95,13.87,1402
22439,39.665675,-75.523997,45.95,13.87,1403
22439,39.665991999999996,-75.523567,45.95,13.87,1404
22439,39.669031,-75.51435,45.88,13.87,1407
22439,39.669833000000004,-75.51408599999999,45.88,13.87,1408
22439,39.710667,-75.518253,45.61,13.87,1412
22439,39.730411,-75.53415600000001,45.32,13.87,1414
22439,39.732528,-75.560278,45.57,13.87,1416
22454,37.166806,-75.032944,50.38,38.05,13594
22736,36.021833,-75.636286,51.96,12.75,13596
24380,36.945947,-75.95843599999999,52.43,25.28,14103
24380,36.765152,-75.771309,52.36,25.28,12994
22439,39.822906,-75.37638100000001,44.53,20.8,13809
23474,38.399475,-74.676519,44.74,19.46,13533
23465,38.765206,-74.753261,44.53,11.41,9564
23465,38.770592,-74.740592,44.53,11.41,9567
23465,38.772147,-74.742717,44.53,11.41,9568
23455,38.844028,-75.075231,45.16,11.99,9935
22959,38.646078,-74.79975,45.34,8.01,9936
23469,38.607539,-74.607478,44.67,8.01,9937
23455,39.023444,-75.044622,44.55,11.41,9990
23455,38.946778,-75.209631,45.68,10.0,9991
23455,38.802889,-75.122403,45.27,11.99,9997
23455,38.87,-75.156944,45.27,11.99,10014
23455,38.868069,-75.134922,44.85,13.0,10015
23455,38.746491999999996,-74.959011,45.32,8.01,9291
23462,38.502531,-74.729497,44.74,19.46,10399
23455,38.773364,-74.977917,45.0,8.01,8975
16843,37.750128000000004,-74.882953,47.16,23.04,2981
16843,38.023453,-75.259633,46.4,23.04,3245
18331,39.176196999999995,-75.138442,43.45,19.46,2725
23454,38.616781,-74.386258,44.49,11.41,3044
23491,38.683446999999994,-74.48293100000001,44.53,11.41,3045
24380,36.898481,-75.97965,52.11,25.28,3080
24380,36.836255,-75.96829699999999,51.69,7.0,3328
16614,38.683444,-74.849614,45.34,8.01,2767
23431,38.591778000000005,-75.056289,44.35,7.0,2769
16843,37.900121999999996,-75.327972,47.61,23.04,2774
16843,37.853458,-75.26630300000001,47.7,23.04,2775
16843,37.533467,-75.432975,47.82,25.28,2783
24274,37.9129,-75.024625,47.19,23.04,3339
16843,37.713083000000005,-75.13319399999999,47.35,23.04,3340
24380,37.166808,-75.74964200000001,50.99,8.01,2790
24380,36.978478,-75.96798299999999,52.41,25.28,2796
24380,36.900147,-75.966317,51.87,7.0,2802
24380,36.891814000000004,-75.981317,52.11,25.28,2803
16554,36.565153,-75.839642,52.0,13.0,2812
16554,36.565153,-75.839642,52.0,13.0,2813
16554,36.540153000000004,-75.864642,52.0,13.0,2814
16554,36.521819,-75.861308,52.0,13.0,2815
16554,36.495156,-75.849642,52.0,1.99,2817
22453,36.375161,-75.449619,52.0,11.99,2818
24380,37.008481,-75.64963900000001,52.48,25.28,2556
22439,40.067225,-74.941125,41.99,14.99,2587
22453,36.335158,-75.809636,52.0,15.99,2871
22453,36.270161,-75.782967,52.0,15.99,2872
21170,35.841842,-75.554611,51.94,12.75,2875
21171,35.611844,-75.4596,52.47,14.0,2876
21171,35.598511,-75.4596,52.48,14.0,2877
21171,35.590178,-75.457933,52.74,14.0,2878
22439,40.080664,-74.867942,42.12,14.99,2589
22439,40.097608,-74.84110799999999,41.97,14.99,2590
22439,40.088608,-74.856275,42.12,14.99,2591
22439,40.093528000000006,-74.850886,42.12,14.99,2597
22454,36.797806,-75.49275,52.29,25.28,14840
24380,36.829322999999995,-75.689762,52.5,25.28,3419
24380,36.918092,-75.72823299999999,52.48,25.28,3420
16843,37.916789,-75.049625,47.21,23.04,2936
23455,38.746525,-74.959008,45.32,8.01,8402
23455,38.711269,-74.992558,45.23,8.01,8403
23455,38.761944,-75.065,45.18,8.01,8132
23491,38.670039,-74.47805600000001,44.53,11.41,7836
24380,36.893481,-75.760475,52.48,25.28,7530
23455,38.80015,-74.98015,45.0,20.0,8469
23455,38.808153000000004,-75.048369,45.16,11.99,8226
23455,38.815814,-75.046939,45.16,11.99,8228
23455,38.801221999999996,-75.049622,45.16,11.99,8229
23455,38.802611,-75.0499,45.16,11.99,8230
16614,38.788658,-74.757914,44.53,11.41,8239
24380,36.953456,-75.966031,52.43,25.28,8262
24380,36.914035999999996,-76.096878,51.58,29.97,3746
24380,36.916814,-76.085767,51.44,29.97,3747
24380,36.9296,-76.053225,51.53,7.0,3748
22439,39.958417,-75.127564,42.24,14.99,4721
22439,39.959056,-75.101644,42.19,14.99,4722
22439,39.959278000000005,-75.101589,42.19,14.99,4723
22439,39.959556,-75.101506,42.19,14.99,4724
22439,39.959583,-75.101783,42.19,14.99,4725
22439,39.959610999999995,-75.101311,42.19,14.99,4726
22439,39.960083000000004,-75.101228,42.19,14.99,4727
22439,39.961222,-75.101061,42.19,14.99,4728
22439,39.961361,-75.132981,42.24,14.99,4729
22439,39.961389000000004,-75.132953,42.24,14.99,4730
22439,39.961556,-75.112897,42.21,14.99,4731
22439,39.961944,-75.098889,42.19,14.99,4732
22439,39.963333,-75.09692199999999,42.19,14.99,4733
22439,39.964361,-75.0962,42.19,14.99,4734
22439,39.965056,-75.09450600000001,42.13,14.99,4735
22439,39.96525,-75.09389399999999,42.13,14.99,4736
22439,39.966778000000005,-75.089783,42.13,14.99,4737
22439,39.967583000000005,-75.088617,42.13,14.99,4738
22439,39.972,-75.091172,42.13,14.99,4739
22439,39.988278,-75.058839,42.04,14.99,4419
22439,39.995056,-75.033197,42.04,14.99,4420
22439,39.865889,-75.121175,42.4,20.8,4699
22439,39.871111,-75.123592,42.4,20.8,4700
22439,39.872694,-75.121703,42.4,20.8,4701
22439,39.879222,-75.129703,42.39,20.8,4702
22439,39.880167,-75.12750799999999,42.39,20.8,4703
22439,39.900389000000004,-75.126953,42.4,20.8,4705
22439,39.922194,-75.137286,42.42,20.8,4706
22439,39.922333,-75.13739699999999,42.42,20.8,4707
22439,39.922722,-75.137147,42.42,20.8,4708
22439,39.926361,-75.13036899999999,42.42,20.8,4709
22439,39.953972,-75.130175,42.42,20.8,4710
22439,39.956083,-75.128786,42.24,14.99,4711
22439,39.956972,-75.107478,42.21,14.99,4712
22439,39.957056,-75.102756,42.19,14.99,4713
22439,39.957278,-75.128508,42.24,14.99,4714
22439,39.957611,-75.117675,42.21,14.99,4715
22439,39.957694000000004,-75.126786,42.24,14.99,4716
22439,39.957833,-75.128258,42.24,14.99,4717
22439,39.957944,-75.1022,42.19,14.99,4718
22439,39.958417,-75.127564,42.24,14.99,4719
22439,39.959,-75.110008,42.21,14.99,4720
22439,40.024722,-74.998919,42.08,14.99,4424
22439,40.045,-74.955472,42.08,14.99,4426
22439,39.829696999999996,-75.346508,44.78,20.8,4436
22439,39.851778,-75.22829200000001,43.52,20.8,4437
22439,39.940917,-75.205486,42.75,20.8,4438
16843,37.864653000000004,-75.400531,47.23,23.04,4496
16843,37.866792,-75.416308,47.21,23.04,4497
16843,37.961789,-75.292969,47.64,23.04,4498
24380,36.896657,-75.730799,52.5,25.28,14211
16889,38.083453000000006,-74.89962,45.23,19.46,14226
24274,37.957819,-75.005111,47.12,23.04,14227
16843,37.980121999999994,-75.162965,47.26,23.04,14241
16843,37.968456,-75.14129799999999,47.25,23.04,14287
24380,36.896657,-75.730799,52.5,25.28,14212
24380,36.896657,-75.730799,52.5,25.28,14214
24380,36.894529999999996,-75.719581,52.63,25.28,14216
