Dive Site ID,Dive Site Name,Distance,Lat,Lng,Record #
23000,Port A Jetties,5.51,27.86888900000001,-97.133278,5967
22386,288 Lake,20.0,29.78355800000001,-95.076094,6969
16943,Stetson Bank National Marine Sanctuary,24.92,29.241906,-93.000153,6970
16326,Lake Charles,23.45,29.625225,-93.083483,6981
16326,Lake Charles,15.71,29.733556,-93.133481,6983
16943,Stetson Bank National Marine Sanctuary,24.86,29.383569,-93.450158,7003
16326,Lake Charles,17.5,29.671892,-93.426822,7022
16326,Lake Charles,22.09,29.691892,-93.584322,7025
16326,Lake Charles,22.84,29.700222,-93.608492,7026
16326,Lake Charles,22.86,29.705222,-93.613492,7027
16326,Lake Charles,23.96,30.245972,-93.247083,13556
16326,Lake Charles,24.01,30.246389,-93.245417,13557
16326,Lake Charles,24.07,30.24725,-93.245556,13558
16326,Lake Charles,24.15,30.248611,-93.246444,13559
16326,Lake Charles,24.28,30.250358,-93.244928,13560
22094,Stetson Bank (Texas Flower Gardens),3.31,28.183333,-94.348333,12428
22094,Stetson Bank (Texas Flower Gardens),3.74,28.20025,-94.250167,12429
16326,Lake Charles,4.65,29.83895,-93.331092,13639
22135,Mammoth Lake,13.72,28.875611,-95.272614,12473
24329,Little Sara Gas Rig,8.93,26.065356,-97.148581,13693
23000,Port A Jetties,0.46,27.835,-97.043333,13346
23000,Port A Jetties,0.49,27.836111,-97.0425,13347
24321,Corpus Christi Bay,5.99,27.819722,-97.183611,13348
16975,The Reef,24.52,29.313333,-94.828333,13437
22093,West Flower Garden Bank (Texas Flower Gardens),6.62,27.808861,-93.891833,12372
22093,West Flower Garden Bank (Texas Flower Gardens),10.39,28.006667,-93.73,12373
22094,Stetson Bank (Texas Flower Gardens),9.26,28.29,-94.24,12374
16326,Lake Charles,7.59,29.798333000000003,-93.345556,13545
16326,Lake Charles,6.5,29.815556,-93.347222,13546
16326,Lake Charles,13.54,30.098533000000003,-93.325517,13552
16326,Lake Charles,13.64,30.1,-93.325733,13553
16326,Lake Charles,16.12,30.136111,-93.322222,13554
16326,Lake Charles,23.63,30.240833,-93.245833,13555
22094,Stetson Bank (Texas Flower Gardens),14.16,28.303333,-94.125,12378
22386,288 Lake,17.66,29.555264,-95.052519,9158
22386,288 Lake,17.66,29.555264,-95.052519,9159
22386,288 Lake,19.72,29.548697,-95.018967,9170
22386,288 Lake,19.55,29.552064,-95.021061,9173
22386,288 Lake,20.69,29.549153000000004,-95.002428,9177
16326,Lake Charles,13.23,29.718447,-93.366147,9920
22386,288 Lake,19.75,29.5515,-95.017861,9181
22386,288 Lake,18.94,29.5421,-95.034136,9191
22386,288 Lake,20.48,29.546336,-95.006714,9205
22386,288 Lake,20.74,29.58310800000001,-94.996192,9221
22386,288 Lake,19.84,29.548283,-95.01715,9224
22070,Twin Lakes Scuba Park,24.73,29.464675,-94.962147,9599
22070,Twin Lakes Scuba Park,24.61,29.4631,-94.964136,9600
22070,Twin Lakes Scuba Park,24.36,29.46200300000001,-94.968333,9601
22070,Twin Lakes Scuba Park,24.13,29.461014,-94.972128,9602
22070,Twin Lakes Scuba Park,24.08,29.461178000000004,-94.972972,9603
22070,Twin Lakes Scuba Park,23.99,29.460967,-94.974497,9604
22386,288 Lake,20.85,29.660947,-94.998544,9615
22386,288 Lake,22.03,29.675225,-94.981869,9618
22386,288 Lake,24.24,29.646058,-94.939092,9624
