Record #,Vessel Terms,Feature Type,Lat,Lng,GP Quality
52797.0,OBSTRUCTION,Obstruction - Visible at high water,60.113411,-149.429792,Med
52803.0,OBSTRUCTION,Obstruction - Submerged,60.113192000000005,-149.435914,Med
52806.0,OBSTRUCTION,Obstruction - Visible at high water,60.111197,-149.434042,High
52807.0,OBSTRUCTION,Obstruction - Submerged,60.109618999999995,-149.432647,High
52808.0,OBSTRUCTION,Obstruction - Visible at high water,60.109258,-149.433961,High
52809.0,OBSTRUCTION,Obstruction - Submerged,60.104478,-149.43324199999998,High
52810.0,OBSTRUCTION,Obstruction - Visible at high water,60.09865,-149.441978,High
52814.0,OBSTRUCTION,Obstruction - Visible at high water,60.097114000000005,-149.444822,High
52194.0,OBSTRUCTION,Rock - Covered at low water,60.724739,-151.464333,High
52195.0,OBSTRUCTION,Rock - Covered at low water,60.727042000000004,-151.464664,High
52196.0,OBSTRUCTION,Obstruction - Submerged,60.687767,-151.536131,Med
52197.0,OBSTRUCTION,Obstruction - Submerged,60.734139,-151.521669,Med
52820.0,OBSTRUCTION,Obstruction - Visible at high water,60.008933,-149.301308,High
52821.0,OBSTRUCTION,Rock - Awash,59.98568100000001,-149.386092,High
52823.0,OBSTRUCTION,Obstruction - Submerged,60.115221999999996,-149.435278,Med
53119.0,OBSTRUCTION,Obstruction - Submerged,56.995833,-153.428667,Med
53125.0,OBSTRUCTION,Obstruction - Submerged,61.053914,-146.704817,High
53129.0,OBSTRUCTION,Obstruction - Visible at high water,60.895989,-146.704222,Med
53130.0,OBSTRUCTION,Obstruction - Visible at high water,60.891611,-146.703692,Med
53132.0,OBSTRUCTION,,60.866111,-146.66222199999999,Med
53134.0,OBSTRUCTION,,60.881944,-146.756944,Med
52225.0,OBSTRUCTION,Obstruction - Visible at high water,60.677161,-148.291231,Low
52226.0,OBSTRUCTION,Obstruction - Visible at high water,60.694942000000005,-148.234003,Low
52227.0,OBSTRUCTION,Obstruction - Visible at high water,60.694386,-148.398747,Low
52229.0,OBSTRUCTION,Obstruction - Visible at high water,60.789403,-148.562108,Low
52230.0,OBSTRUCTION,Obstruction - Visible at high water,60.794403,-148.538772,Low
52231.0,OBSTRUCTION,Obstruction - Visible at high water,60.796068999999996,-148.555442,Low
52239.0,OBSTRUCTION,Obstruction - Submerged,60.778139,-148.69263899999999,Med
52240.0,OBSTRUCTION,Obstruction - Submerged,60.779167,-148.691667,High
52582.0,OBSTRUCTION,Obstruction - Submerged,57.55566700000001,-153.963078,High
52583.0,OBSTRUCTION,Obstruction - Submerged,57.556825,-153.948519,High
52586.0,OBSTRUCTION,Rock - Covered at low water,59.92425,-149.716194,High
52597.0,OBSTRUCTION,Obstruction - Visible at high water,59.888611,-147.75983300000001,High
52243.0,OBSTRUCTION,Rock - Covered at low water,60.747639,-148.2875,Med
52598.0,OBSTRUCTION,Obstruction - Visible at high water,59.874528000000005,-147.815278,High
52600.0,OBSTRUCTION,Rock - Covered at low water,59.736000000000004,-147.854778,Low
52601.0,OBSTRUCTION,Rock - Awash,60.103108,-147.888378,High
52602.0,OBSTRUCTION,Obstruction - Visible at high water,60.079514,-147.932825,High
52605.0,OBSTRUCTION,Obstruction - Visible at high water,60.05611700000001,-148.05505300000002,High
52607.0,OBSTRUCTION,Obstruction - Visible at high water,60.052275,-148.06299199999998,High
52609.0,OBSTRUCTION,Obstruction - Visible at high water,60.046631000000005,-148.05684399999998,High
52610.0,OBSTRUCTION,Obstruction - Visible at high water,60.044442000000004,-148.05551100000002,High
52611.0,OBSTRUCTION,Obstruction - Visible at high water,60.039083,-148.054944,High
52612.0,OBSTRUCTION,Obstruction - Submerged,59.927657999999994,-148.140669,High
52615.0,OBSTRUCTION,Rock - Awash,60.115972,-148.003611,Low
52859.0,OBSTRUCTION,Rock - Covered at low water,60.868353000000006,-146.70591399999998,Low
53085.0,OBSTRUCTION,Obstruction - Submerged,60.998943999999995,-151.16886100000002,High
53086.0,OBSTRUCTION,Obstruction - Submerged,60.776667,-151.433611,High
53087.0,OBSTRUCTION,Obstruction - Submerged,60.786111,-151.370833,High
52297.0,OBSTRUCTION,Rock - Covered at low water,56.574721999999994,-157.933611,Low
52617.0,OBSTRUCTION,Obstruction - Submerged,60.148889000000004,-148.051167,Med
52320.0,OBSTRUCTION,Obstruction - Submerged,60.2786,-147.946047,Med
52322.0,OBSTRUCTION,Rock - Awash,60.276111,-147.892078,Med
52323.0,OBSTRUCTION,Rock - Covered at low water,60.386667,-148.15,Low
52324.0,OBSTRUCTION,Rock - Covered at low water,60.228581000000005,-148.009567,Low
52325.0,OBSTRUCTION,Rock - Awash,60.221364,-147.958178,Med
52648.0,OBSTRUCTION,Obstruction - Submerged,61.246567000000006,-149.887364,High
52649.0,OBSTRUCTION,Obstruction - Submerged,61.20051899999999,-150.077519,Med
52650.0,OBSTRUCTION,Rock - Covered at low water,61.219443999999996,-150.005556,High
52651.0,OBSTRUCTION,Obstruction - Submerged,61.2095,-149.940167,Low
52653.0,DUMP SITE,Obstruction - Submerged,61.24,-149.89830600000002,Med
51900.0,OBSTRUCTION,Obstruction - Submerged,61.211667000000006,-149.93027800000002,Med
51955.0,OBSTRUCTION,Obstruction - Submerged,61.045989,-148.005875,Low
51956.0,OBSTRUCTION,Rock - Awash,60.994575,-148.06403600000002,High
51957.0,OBSTRUCTION,,60.983332999999995,-148.15,High
52421.0,OBSTRUCTION,Obstruction - Submerged,61.059639000000004,-150.919333,High
52422.0,OBSTRUCTION,Obstruction - Submerged,61.053000000000004,-150.909611,High
52423.0,OBSTRUCTION,Obstruction - Submerged,60.938607999999995,-151.145017,Low
52424.0,OBSTRUCTION,Obstruction - Submerged,60.894718999999995,-151.192239,Low
52426.0,OBSTRUCTION,Obstruction - Submerged,60.809722,-151.48333300000002,Low
52427.0,OBSTRUCTION,Rock - Covered at low water,60.508761,-147.58514399999999,High
52429.0,OBSTRUCTION,,60.263803,-147.6746,High
52431.0,OBSTRUCTION,Rock - Covered at low water,60.256158,-147.523914,High
52432.0,OBSTRUCTION,Rock - Covered at low water,60.300186,-147.388561,Low
52438.0,OBSTRUCTION,Obstruction - Visible at high water,60.24020600000001,-147.214769,High
51961.0,OBSTRUCTION,Obstruction - Submerged,60.8775,-148.124167,High
51964.0,OBSTRUCTION,Obstruction - Visible at high water,60.844443999999996,-148.388056,Med
51965.0,OBSTRUCTION,Obstruction - Visible at high water,60.842611,-148.38763899999998,Med
51966.0,OBSTRUCTION,Obstruction - Visible at high water,60.84194399999999,-148.39486100000002,Low
51967.0,OBSTRUCTION,Obstruction - Visible at high water,60.901786,-147.939456,High
51968.0,OBSTRUCTION,Obstruction - Visible at high water,60.849531000000006,-147.952436,High
52448.0,OBSTRUCTION,Obstruction - Submerged,57.75825,-152.445528,High
52449.0,OBSTRUCTION,Obstruction - Submerged,57.75825,-152.441944,High
52455.0,OBSTRUCTION,Rock - Awash,57.775889,-152.43088899999998,High
52456.0,OBSTRUCTION,Rock - Awash,57.723739,-152.502747,High
52457.0,,Rock - Awash,57.720564,-152.49690800000002,High
52458.0,OBSTRUCTION,Obstruction - Submerged,57.723971999999996,-152.521639,High
52459.0,OBSTRUCTION,Obstruction - Submerged,57.724167,-152.521361,High
52981.0,OBSTRUCTION,Obstruction - Submerged,57.726656000000006,-152.530122,High
52982.0,OBSTRUCTION,Rock - Awash,55.358717000000006,-160.517661,High
51998.0,OBSTRUCTION,Rock - Awash,60.869443999999994,-147.53,Low
51999.0,OBSTRUCTION,Rock - Awash,60.875583,-147.405397,Low
52000.0,OBSTRUCTION,Rock - Awash,60.881417000000006,-147.427064,Low
52001.0,OBSTRUCTION,Rock - Awash,60.883858,-147.4195,Low
52002.0,OBSTRUCTION,Rock - Awash,60.867778,-147.698611,High
52005.0,OBSTRUCTION,Rock - Awash,60.860417000000005,-147.479444,High
52460.0,OBSTRUCTION,Obstruction - Submerged,57.724639,-152.52025,High
52461.0,OBSTRUCTION,Obstruction - Visible at high water,57.729,-152.51583300000001,Med
52462.0,OBSTRUCTION,Obstruction - Visible at high water,57.731368999999994,-152.512417,High
52464.0,OBSTRUCTION,Obstruction - Submerged,57.731657999999996,-152.516028,High
52466.0,OBSTRUCTION,Obstruction - Submerged,57.735278,-152.51666699999998,Med
52467.0,OBSTRUCTION,Obstruction - Submerged,57.733917000000005,-152.519139,High
52476.0,OBSTRUCTION,Obstruction - Visible at high water,57.731153000000006,-152.52611100000001,High
52478.0,OBSTRUCTION,Obstruction - Submerged,57.729468999999995,-152.527072,High
52484.0,OBSTRUCTION,Obstruction - Submerged,57.733361,-152.507103,High
52489.0,OBSTRUCTION,,60.32775,-147.46428899999998,High
53352.0,OBSTRUCTION,Rock - Awash,55.347803000000006,-160.0872,Low
53353.0,OBSTRUCTION,Rock - Awash,55.346078000000006,-160.08884799999998,Low
53354.0,OBSTRUCTION,Rock - Awash,55.286396999999994,-160.04433600000002,Low
53355.0,OBSTRUCTION,Rock - Awash,55.270272999999996,-160.054517,Low
53356.0,OBSTRUCTION,Rock - Awash,55.268797,-160.054978,Low
53357.0,OBSTRUCTION,Rock - Awash,55.27188100000001,-160.048177,Low
53396.0,OBSTRUCTION,Rock - Awash,55.246485,-159.838693,Med
53397.0,OBSTRUCTION,Rock - Awash,55.268412,-159.84909199999998,Med
53399.0,OBSTRUCTION,Rock - Awash,55.160092000000006,-160.112617,Med
53400.0,OBSTRUCTION,Rock - Awash,55.155046999999996,-160.11768600000002,Med
53401.0,OBSTRUCTION,Rock - Awash,55.149767000000004,-160.124892,Med
53402.0,OBSTRUCTION,Rock - Awash,55.14621700000001,-160.128861,Med
53403.0,OBSTRUCTION,Rock - Awash,55.14415,-160.131872,Med
53404.0,OBSTRUCTION,Rock - Awash,55.12230600000001,-160.16683899999998,Med
53405.0,OBSTRUCTION,Rock - Awash,55.118472,-160.189416,Med
53406.0,OBSTRUCTION,Rock - Awash,55.109389,-160.200347,Med
53407.0,OBSTRUCTION,Rock - Awash,55.10286899999999,-160.19276399999998,Med
53408.0,OBSTRUCTION,Rock - Awash,55.09356,-160.083526,Low
53409.0,OBSTRUCTION,Rock - Awash,55.086521999999995,-160.063,Low
53410.0,OBSTRUCTION,Rock - Awash,55.08694200000001,-160.06,Low
53423.0,OBSTRUCTION,Rock - Awash,55.282553,-159.898,Low
53424.0,OBSTRUCTION,Rock - Awash,55.290006000000005,-159.891,Low
53425.0,OBSTRUCTION,Rock - Awash,55.270889000000004,-159.854058,Low
53426.0,OBSTRUCTION,Rock - Awash,55.269589,-159.849931,Low
53427.0,OBSTRUCTION,Rock - Awash,55.267452,-159.849961,Low
53428.0,OBSTRUCTION,Rock - Awash,55.118564,-160.19,Low
53440.0,OBSTRUCTION,Rock - Awash,55.500221999999994,-160.06608300000002,High
53441.0,OBSTRUCTION,Rock - Awash,55.501222,-160.056667,High
53442.0,OBSTRUCTION,Rock - Awash,55.50233299999999,-160.05166699999998,High
53443.0,OBSTRUCTION,Rock - Awash,55.504721999999994,-160.045028,High
53444.0,OBSTRUCTION,Rock - Awash,55.447272,-160.134853,High
53445.0,OBSTRUCTION,Rock - Awash,55.449814,-160.134511,Med
53446.0,OBSTRUCTION,Rock - Awash,55.388342,-160.207056,Med
53447.0,OBSTRUCTION,Rock - Awash,55.373428000000004,-160.16044,Med
53448.0,OBSTRUCTION,Rock - Awash,55.326742,-160.027109,Med
53449.0,OBSTRUCTION,Rock - Awash,55.34886899999999,-160.072792,Med
53466.0,OBSTRUCTION,Rock - Awash,55.179503000000004,-159.81004199999998,Low
53467.0,OBSTRUCTION,,55.167472,-159.803658,Low
53468.0,OBSTRUCTION,Rock - Awash,55.144472,-159.817778,Low
53469.0,OBSTRUCTION,Rock - Awash,55.0858,-159.936,Low
53470.0,OBSTRUCTION,Rock - Awash,55.082117000000004,-159.93478100000002,Low
53471.0,OBSTRUCTION,Rock - Awash,55.065917000000006,-159.926078,Low
53472.0,OBSTRUCTION,Rock - Awash,55.063942000000004,-159.95136100000002,Low
53473.0,OBSTRUCTION,Rock - Awash,55.0742,-160.002578,Low
53477.0,OBSTRUCTION,Rock - Awash,55.027207999999995,-160.01483100000002,Low
53481.0,OBSTRUCTION,Rock - Awash,55.175731000000006,-159.81055600000002,Low
53482.0,OBSTRUCTION,Rock - Awash,55.173042,-159.80987199999998,Low
